agent,gender,age,status,origin
n/a,n/a,n/a,unknown,n/a
Philip of Macedon,male,mature,power-holder,Macedonian
Philip of Macedon's representatives,male,mature/old,power-holder,Macedonian
Representatives,male,mature/old,power-holder,Athenian
Representatives of the allies of Athens,male,mature/old,power-holder,various
Epheboi,male,adolescent,free,Athenian
Presiding magistrate,male,mature/old,power-holder,Athenian
Dikastai,male,mature/old,free,Athenian
Inlaw,male,old,free,Athenian
Euripides,male,old,free,Athenian
Aeschines,male,mature,free,Athenian
Tissaphernes,male,mature,power-holder,Persian
The brother of the King's wife,male,mature,power-holder,Persian
Greek generals,male,mature,power-holder,various
Greek lochagoi,male,mature,power-holder,various
Spartan,male,mature,free,Spartan
First Athenian,male,mature,free,Athenian
Peisetaerus,male,old,free,Athenian
Chorus,male) (n/a,mature,free,n/a
Representatives of the Italian Locrians,male,mature/old,power-holder,Locrian
Demosthenes,male,mature,chattel-slave,n/a
Sausage-seller,male,adolescent,free,Athenian
Citizens,male,any adult age,free,Athenian
Polus,male,mature,free,Acragantine
Socrates,male,mature/old,free,Athenian
Philocleon,male,old,free,Athenian
Bdelycleon,male,mature,free,Athenian
An imaginary objector,male,mature/old,free,Athenian
Diodorus,male,mature,free,Athenian
Slave,male,mature,chattel-slave,n/a
Xanthias,male,mature,chattel-slave,n/a
see remarks,n/a,n/a,unknown,n/a
Charmides,male,mature,free,Athenian
Critylla,female,old,free,Athenian
Trojans,male,any adult age,free,Trojan
Cleomenes,male,mature,power-holder,Spartan
Greek army,male,any adult age,free,various Greek
Trojan army,male,any adult age,free,Trojan
Apollo,male,mature,power-holder,n/a
World at large,n/a,n/a,unknown,n/a
Protarchus,male,adolescent,free,Athenian
Dicaeopolis,male,old,free,Athenian
unknown,n/a,unknown,unknown,unknown
Aeschylus,male,old,free,Athenian
Dionysus,male,mature,power-holder,n/a
Hippias,male,mature,free,Elean
Aphobus,male,mature,free,Athenian
Pledger,male,any adult age,free,Gortynian
Defendant,male,any adult age,free,Athenian
Agesilaus,male,mature,power-holder,Spartan
Chremylus,male,old,free,Athenian
Blepsidemus,male,old,free,Athenian
Cyrus,male,child,free,Persian
Cambyses,male,mature,power-holder,Persian
Athenians,male,any adult age,free,Athenian
Aristophanes,male,mature,free,Athenian
Dercylidas,male,mature,power-holder,Spartan
Meidias,male,mature/old,power-holder,Skepsiot
Informer,male,mature,free,Athenian
Honest Man,male,mature,free,Athenian
Showman,male,mature,free,Syracusan
Theages,male,adolescent,free,Athenian
Melanippe?,female,adolescent,free,Boeotian
Artasyras,male,mature,power-holder,Persian
Artyphius,male,mature,power-holder,Persian
Envoys,male,mature/old,power-holder,Arcadian
Artemis,female,n/a,power-holder,n/a
Zeus,male,n/a,power-holder,n/a
Generals,male,mature/old,power-holder,Eretrian
Bouleutai,male,mature/old,free,Eretrian
Hippeis,male,adolescent/mature,free,Eretrian
Archai,male,mature/old,power-holder,Eretrian
Incoming bouleutai,male,mature/old,free,Athenian
Elymian representatives,male,mature/old,power-holder,various communities
Phoenician representatives,male,mature/old,power-holder,various communities
Prosecutor,male,any adult age,free,Athenian
Oedipus,male,mature,power-holder,Theban
Jocasta,female,mature,power-holder,Theban
Creon,male,mature,power-holder,Theban
Ruling Ionians,male,mature/old,power-holder,various Ionian poleis
Croesus,male,mature,power-holder,Lydian
Megarian,male,mature,free,Megarian
The girls,female,child,free,Megarian
Aristotle,male,mature,free,Athenian
Pheidippides,male,adolescent,free,Athenian
Strepsiades,male,old,free,Athenian
Argonauts,male,adolescent/mature,free,various Greek
Lemnian women,female,any adult age,free,Lemnian
Xerxes,male,mature,power-holder,Persian
Artaynte,female,mature,free,Persian
An imaginary respondent,male,mature/old,free,Athenian
Calonice,female,mature,free,Athenian
Lysistrata,female,mature,free,Athenian
Helen's suitors,male,adolescent/mature,power-holder,various Greek
Tyndareus,male,old,power-holder,Spartan
Representatives of the Opuntian Locrians,male,mature/old,power-holder,Locrian
Hermogenes,male,adolescent,free,Athenian
Pleistoanax,male,mature/old,power-holder,Spartan
Agis,male,mature/old,power-holder,Spartan
Pleistolas,male,mature/old,power-holder,Spartan
Damagetus,male,mature/old,power-holder,Spartan
Chionis,male,mature/old,power-holder,Spartan
Metagenes,male,mature/old,power-holder,Spartan
Acanthus,male,mature/old,power-holder,Spartan
Daithus,male,mature/old,power-holder,Spartan
Ischagoras,male,mature/old,power-holder,Spartan
Philocharidas,male,mature/old,power-holder,Spartan
Zeuxidas,male,mature/old,power-holder,Spartan
Antippus,male,mature/old,power-holder,Spartan
Tellis,male,mature/old,power-holder,Spartan
Alcinadas,male,mature/old,power-holder,Spartan
Empedias,male,mature/old,power-holder,Spartan
Menas,male,mature/old,power-holder,Spartan
Laphilus,male,mature/old,power-holder,Spartan
Lampon,male,mature/old,power-holder,Athenian
Isthmionicus,male,mature/old,power-holder,Athenian
Nicias,male,mature/old,power-holder,Athenian
Laches,male,mature/old,power-holder,Athenian
Euthydemus,male,mature/old,power-holder,Athenian
Procles,male,mature/old,power-holder,Athenian
Pythodorus,male,mature/old,power-holder,Athenian
Hagnon,male,mature/old,power-holder,Athenian
Myrtilus,male,mature/old,power-holder,Athenian
Thrasycles,male,mature/old,power-holder,Athenian
Theagenes,male,mature/old,power-holder,Athenian
Aristocrates,male,mature/old,power-holder,Athenian
Iolcius,male,mature/old,power-holder,Athenian
Timocrates,male,mature/old,power-holder,Athenian
Leon,male,mature/old,power-holder,Athenian
Lamachus,male,mature/old,power-holder,Athenian
Representatives of Peloponnesian League members,male,mature/old,power-holder,various
Representatives of the Chalcidians in Thrace,male,mature/old,power-holder,various
Three/five Athenians,male,mature/old,power-holder,Athenian
Hestia,female,adolescent,power-holder,n/a
The men of the Piraeus,male,any adult age,free,Athenian
The men of the asty,male,any adult age,free,Athenian
Taurus son of Echetimidas,male,mature,power-holder,Spartan
"Athenaeus, son of Pericleidas",male,mature,power-holder,Spartan
Aeneas son of Ocytus,male,mature,power-holder,Corinthian
Euphamidas son of Aristonymus,male,mature,power-holder,Corinthian
Damotimus son of Naucrates,male,mature,power-holder,Sicyonian
"Onasimus, son of Megacles",male,mature,power-holder,Sicyonian
"Nicasus, son of Cecalus",male,mature,power-holder,Megarian
Menecrates son of Amphidorus,male,mature,power-holder,Megarian
Amphias son of Eupalidas,male,mature,power-holder,Epidaurian
Nicostratus,male,mature,power-holder,Athenian
"Autocles, son of Tolmaeus",male,mature,power-holder,Athenian
Chorus-leader,n/a,mature,free,n/a
Callicles,male,adolescent,free,Athenian
Plangon,female,mature,free,Athenian
Arbitrator,male,mature,free,Athenian
First Old Woman,female,old,free,Athenian
Epigenes,male,adolescent,free,Athenian
Tigranes' wife,female,mature,power-holder,Armenian
Tigranes,male,adolescent,power-holder,Armenian
Paphlagon,male,mature,chattel-slave,n/a
