oath_id,author,title,reference,work_type,genre,work_date,date,reference_type,state,swearer,swearee,proposed_by,if_taken,if_refused,if_kept,if_broken,taken,impact,consequences_of_breach,statement,linguistic,gods_invoked,remarks
1375,Theognis,Book 1,1195,literary,Eleg.,640-480,640 to 480,Discussion,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"omnu, ork",The gods,A further piece of advice (cf. oath ids 1367-1370 and 1372): don't swear a false oath by the gods; there is no way of hiding from the gods a debt owed. The type of oath alluded to is one denying that the swearer owes a debt to the swearee.
3348,Demosthenes,On the Crown,43,literary,Orat.,330,346,Oath,"Athens, Pella",Philip of Macedon; Philip of Macedon's representatives; Representatives; Representatives of the allies of Athens,Philip of Macedon; Philip of Macedon's representatives; Representatives; Representatives of the allies of Athens,Philocrates,Peace treaty formalised,Hostilies will continue,unknown,unknown,yes,see remarks,unknown,"[? That they would abide by the following terms:
1. both parties recognised the territory of the other;
2. there was to be an alliance and peace between Philip and the Athenians, with no time limit;
3. the peace and the alliance was to be binding to the allies of both parties;
4. the seas were to be kept safe i.e. neither party was to support pirates]",eirhn,unknown,"Demosthenes argues that whereas ""the detested Thessalians and stupid Thebans"" regarded Philip as their friend, benefactor and saviour, the Athenians viewed him with suspicion, yet maintained the peace because there was nothing that they could do. 
For other references to the Peace of Philocrates see oath id 2517."
340,,"Rhodes and Osborne, GHI","88, 5-16",inscriptional,Public,mid-fourth century,Mid-fourth century (360 to 340),Oath,Athens,Epheboi,Presiding magistrate,Presiding magistrate,They will be eligible to be citizens,They will not be eligible to be citizens,unknown,unknown,yes,unknown,unknown,"[That they shall not bring shame upon the sacred weapons nor shall they desert the man beside them, wherever they stand in the line. They shall fight in defence of things sacred and profane and shall not hand the fatherland on lessened, but greater and better both as far as they are able and with all. And they shall be obedient to whoever exercises power reasonably on any occasion and to the laws currently in force and any reasonably put into force in the future. If anyone attempts to destroy these, they shall refuse to allow him both as far as is in their power and in union with all, and they shall honour the ancestral religion]","omnu, ork",Aglaurus; Hestia; Enyo; Enyalios; Ares; AthenaEpithet(s)Areia; Zeus; Thallo; Auxo; Hegemone; Heracles; The boundaries of my fatherland; Wheat; Barley; Vines; Olives; Figs,"This inscription was set up in the mid-fourth century by Dio, son of Dio, of Acharnae, the priest of Ares and Athena Areia. He describes the oath as ""the ancestral oath of the ephebes"".  
Lycurgus referred to the oath ""which all citizens swear when they are inscribed into the lexiarchikon grammateion and become ephebes"" in his speech against Leocrates. This stone also includes a copy of the oath that the Athenians swore at Plataea in 479 (see oath id 338). 
See also oath id 2740, 2741, 2742, 2743, 3417, 3827."
1725,Aristotle,Rhetoric,1375a10,literary,Phil.,c. 330,c. 330 (335 to 322),Discussion,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ork,n/a,"Here the violation of oaths is mentioned as one of a list of types of betrayal, together with the violation of solemn pledges and of marriage bonds."
3718,Demosthenes,Against Theocrines,17,literary,Orat.,344/3?,344/3 (?) (344),Oath,Athens,Dikastai,Presiding magistrate,Presiding magistrate,They can be jurors,They cannot be jurors,Many blessings (?),Destruction of self and household (?),yes,see remarks,unknown,"[That they will vote according to the laws and decrees of the Athenian people and the Council of Five Hundred; <and concerning matters about which there are no laws, they will judge according to their perfectly honest opinion, and not from favour nor from enmity>. Nor will they accept gifts for judging, nor will any other man or woman do so on their behalf with their knowledge. And they will give an equal hearing to the accuser and the defendant alike, and cast their vote in relation to the actual matter in issue.]",ork,Zeus; Poseidon; Demeter,"Epichares argues that it is wrong for those who wish to keep their oaths to reject his endeixis. 
For the details of the Heliastic oath see oath id 3494."
710,Aristophanes,Thesmophoriazusae,267-269,literary,Comic.,411,411,Oath,Athens,Inlaw,Euripides,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That he will not go to the Thesmophorion unless Euripides swears to help him if he gets into trouble]
 Ἢν λαλῇς δ’, ὅπως τῷ φθέγματι
  γυναικιεῖς εὖ καὶ πιθανῶς.
{ΚΗ.}  Πειράσομαι. 
 {ΕΥ.}  Βάδιζε τοίνυν. 
  {ΚΗ.}  Μὰ τὸν Ἀπόλλω οὔκ",ma ton,Apollo,The condition on which this oath is based (i.e. a formal oath) is considered in the next entry (oath id 711). The two entries should be read in conjunction with each other.
2559,Aeschines,Against Timarchus,69,literary,Orat.,345,345,Oath,Athens,Aeschines,Dikastai,n/a,n/a,n/a,n/a,n/a,yes,Emphasises the statement,unknown,"[That it is no wonder that Hegesandrus will be appearing for the defence]
 καὶ οὐδὲν μὰ Δία θαυμαστόν",ma,Zeus,"Aeschines argues that the fact that Hegesandrus has refused to testify indicates that he will be appearing for the defence. 
He swears that it is no wonder that he will be doing so, saying (evidently with sarcasm) that he will come up to the witness stand trusting in his record as an upright man and an enemy of wickedness.  What Aeschines evidently means the jury to understand is that Hegesandrus will testify (falsely) for the defence because he is utterly shameless, as evidenced by his previous affair with Leodamas - later (111) Aeschines will refer to him as having formerly been ""Leodamas' wife"". 
See also oath id 2558."
2109,Xenophon,Anabasis,2.4.7,literary,Hist.,ca.370-355,401,Oath,Persia,Tissaphernes; The brother of the King's wife,Greek generals; Greek lochagoi,Tissaphernes,The treaty would be formalised,There would not be a treaty,unknown,unknown,yes,see remarks,unknown,"[That the territory the Greeks pass through shall be friendly, and that they shall lead the Ten Thousand back to Greece without treachery, providing them with a market; and wherever they do not furnish the Ten Thousand with a market they will allow them to take provisions from the country]","omos, ork",unknown,"Clearchus said that he could not see why the Persian King who had so many advantages would need, if he really wanted to destroy them, to make an oath and give his right hand and forswear himself by the gods and make his pledges false to both Greeks and barbarians. 
For other references to the treaty between the Ten Thousand and the Persians, see also oath id 2098."
205,Aeschylus,Agamemnon,1569-1573,literary,Trag.,458,mythical time,Oath,Argos,n/a,n/a,Clytemnestra,unknown,unknown,unknown,unknown,no,n/a,n/a,"[That she will be content with present hardship, but that for the future, the daimon of the Pleisthenids should leave her house and wear away another family with murderous deaths]
  ἐγὼ δ’ οὖν
ἐθέλω δαίμονι τῶι Πλεισθενιδᾶν
ὅρκους θεμένη τάδε μὲν στέργειν
δύστλητά περ ὄνθ’, ὃ δὲ λοιπόν, ἰόντ’
ἐκ τῶνδε δόμων ἄλλην γενεὰν
τρίβειν θανάτοις αὐθένταισιν·",ork,unknown,"Clytemnestra swears that she will endure present hardships, and invites the daimon of the Pleisthenids (i.e. the family curse) into a compact with her whereby he will leave the house. But it is not in her power to propose such a compact, and indeed the daimon neither makes a compact with her nor leaves the house."
1230,Aristophanes,Lysistrata,1168-1171,literary,Comic.,411,411,Oath,Athens,Spartan,First Athenian,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That the Spartans will not give all the locations mentioned (the Hedgehog location, the Malian inlet and the Legs of Megara)]
 Τὸ δεῖνα τοίνυν, παράδοθ’ ἡμῖν τουτονὶ
  πρώτιστα τὸν Ἐχινοῦντα καὶ τὸν Μηλιᾶ
  κόλπον τὸν ὄπισθεν καὶ τὰ Μεγαρικὰ σκέλη.  
{ΛΑ.} Οὐ τὼ σιώ, οὐκὶ πάντα γ’, ὦ λισσάνιε.",ou tw,The twin gods,"These “locations” are being mapped out on the person of Reconciliation (see Sommerstein ad 1168-70 for details), which helps to explain the Spartan refusal to give them up. Swearing by the Dioscuri is typically Spartan, cf. oath id 1216 for cross references."
655,Aristophanes,Birds,607,literary,Comic.,414,414,Oath,unknown,Peisetaerus,Chorus,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That men will not die when they're little children (i.e. if the birds rule)]
 Ἢ παιδάρι’ ὄντ’ ἀποθνῄσκειν δεῖ; 
 {ΠΕ.}  Μὰ Δί’",ma,Zeus,The idea is that birds will be able to give humans longer lives by giving them some of their own years; the longevity of the crow was proverbial- see further Sommerstein ad 609.
1660,Thucydides,History,3.86.2,literary,Hist.,403-395,427,Oath,Syracuse,Representatives; Representatives of the Italian Locrians,Representatives; Representatives of the Italian Locrians,unknown,Their alliance would be formalised,There would not be an alliance,unknown,unknown,yes,see remarks,unknown,[? That they would defend each other],summac,unknown,"Thucydides states that at the time of the outbreak of war in Sicily in 427, the Locrians in Italy allied themselves with Syracuse."
985,Aristophanes,Knights,319,literary,Comic.,424,424,Oath,Athens,Demosthenes,Sausage-seller,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That Paphlagon had done the same thing to him (i.e. cheating people by selling them rotten ox leather that looked thick but susequently stretched]
 Νὴ Δία κἀμὲ τοῦτ’ ἔδρασε ταὐτόν",nh,Zeus,
2365,Andocides,Against Alcibiades,3,literary,Orat.,400-300,At the time of the speech ca.417-415 (417 to 415),Oath,Athens,Citizens,Citizens,unknown,unknown,unknown,unknown,unknown,n/a,see remarks,unknown,"[That they would neither exile, nor imprison, nor put to death anybody without trial]
 ὄμνυτε μηδένα μήτ’ ἐξελᾶν μήτε δήσειν μήτε ἀποκτενεῖν ἄκριτον","omnu, ork",unknown,"The author of the speech argues that it is just to blame the author of the law concerning ostracism, since he framed it contrary to the oath of the demos and the boule, to neither exile, nor imprison, nor put to death anybody without trial. 
There is no other evidence that the Athenians swore such an oath. 
There was a clause in the oath of the Boule about not imprisoning anyone (Dem. 24.147; see oath ids 1775 and 3492), and it’s a reasonable supposition that the clause also mentioned the penalties of exile and death, which likewise the Boule had no power to inflict.  So it's quite likely that this is what the author is referring to.  But that wouldn't be relevant to ostracism (in which the Boule had no role), so he smuggles in a reference to the Demos as well."
,,,,,,,,,,,,,,,,,,,,,,,
